image_relpath,style_label,artist_label,genre_label
Impressionism/edgar-degas_landscape-on-the-orne.jpg,12,5,4
Impressionism/claude-monet_morning-on-the-seine-near-giverny-1.jpg,12,4,4
Impressionism/edgar-degas_dancers-backstage-detail-1883-1.jpg,12,5,2
Impressionism/claude-monet_the-tea-set.jpg,12,4,9
Impressionism/pierre-auguste-renoir_portrait-of-a-young-girl.jpg,12,17,6
Post_Impressionism/vincent-van-gogh_plaster-statuette-of-a-female-torso-1886-1.jpg,20,22,9
Symbolism/nicholas-roerich_guru-kambala-1940.jpg,24,14,4
Symbolism/martiros-saryan_caravan-1926.jpg,24,13,4
Impressionism/edgar-degas_the-star-dancer-on-pointe.jpg,12,5,2
Impressionism/camille-pissarro_shepherdesses.jpg,12,2,2
Realism/martiros-saryan_october-day-1953.jpg,21,13,4
Post_Impressionism/vincent-van-gogh_sun-disk-above-a-path-between-shrubs-1890.jpg,20,22,8
Post_Impressionism/vincent-van-gogh_bridge-near-the-schenkweg(1).jpg,20,22,1
Realism/vincent-van-gogh_peasant-with-sickle-seen-from-the-back-1885-5.jpg,21,22,8
Impressionism/claude-monet_view-of-rouen.jpg,12,4,1
Impressionism/pierre-auguste-renoir_study-two-women-s-heads-1895.jpg,12,17,6
Baroque/rembrandt_an-old-man-resting-his-hands-upon-a-book-1645.jpg,4,20,8
Art_Nouveau_Modern/nicholas-roerich_intercession-of-the-theotokos-1903.jpg,3,14,7
Art_Nouveau_Modern/nicholas-roerich_idols-1901-1.jpg,3,14,4
Impressionism/paul-cezanne_the-fountain.jpg,12,16,2
Romanticism/paul-cezanne_clearing-1867.jpg,23,16,4
Impressionism/camille-pissarro_in-the-garden-1902.jpg,12,2,2
Romanticism/gustave-dore_the-conversion-of-st-paul-1866.jpg,23,7,7
Impressionism/edgar-degas_dancer-adjusting-her-sandel-1.jpg,12,5,2
Naive_Art_Primitivism/marc-chagall_window-in-artist-s-studio-1976.jpg,15,12,9
Realism/eugene-boudin_the-beach-at-trouville-1863.jpg,21,6,2
Impressionism/claude-monet_saint-lazare-station-track-coming-out.jpg,12,4,1
Realism/vincent-van-gogh_peasant-woman-head-1885.jpg,21,22,8
Impressionism/pierre-auguste-renoir_portrait-of-gabrielle.jpg,12,17,6
Post_Impressionism/vincent-van-gogh_garden-with-weeping-willow-1888(1).jpg,20,22,4
Symbolism/nicholas-roerich_gilgit-road-1925.jpg,24,14,4
Synthetic_Cubism/pablo-picasso_head-1913.jpg,25,15,6
Impressionism/pierre-auguste-renoir_spring-at-catou-1873.jpg,12,17,4
Realism/ivan-shishkin_forest-4.jpg,21,10,4
Symbolism/martiros-saryan_landscape-1929.jpg,24,13,4
Post_Impressionism/vincent-van-gogh_head-of-a-man(1).jpg,20,22,8
Symbolism/nicholas-roerich_monhigan-vagueness-1922.jpg,24,14,4
Symbolism/nicholas-roerich_guga-chohan-kuluta-1931.jpg,24,14,4
Realism/ilya-repin_head-of-a-man.jpg,21,8,6
Northern_Renaissance/albrecht-durer_the-holy-georg.jpg,17,0,7
Symbolism/nicholas-roerich_mount-m-1931.jpg,24,14,4
Realism/vincent-van-gogh_peasant-woman-seen-against-the-window-head-and-whole-figure-1885.jpg,21,22,8
Expressionism/martiros-saryan_apple-trees-in-blossom-1912.jpg,9,13,4
Impressionism/camille-pissarro_steamboats-in-the-port-of-rouen-1896.jpg,12,2,1
Art_Nouveau_Modern/nicholas-roerich_berendey-s-sloboda-1912.jpg,3,14,8
Symbolism/nicholas-roerich_st-sergius-hermitage-1933.jpg,24,14,4
Impressionism/pierre-auguste-renoir_vera-sertine-renoir-1914.jpg,12,17,6
Realism/ilya-repin_portrait-of-an-unknown-woman.jpg,21,8,6
Impressionism/camille-pissarro_in-the-hospital.jpg,12,2,2
Northern_Renaissance/albrecht-durer_angel-fair.jpg,17,0,7
Impressionism/john-singer-sargent_granada-sunspots-1912.jpg,12,11,4
Impressionism/edgar-degas_dancer-putting-on-her-slipper-1896.jpg,12,5,2
Realism/ivan-shishkin_at-the-edge-of-the-forest-1885.jpg,21,10,4
Symbolism/nicholas-roerich_himalayas-48.jpg,24,14,4
Art_Nouveau_Modern/nicholas-roerich_martyr-mercurius-of-smolensk-1918.jpg,3,14,7
Realism/john-singer-sargent_gondolier-1905.jpg,21,11,6
Post_Impressionism/paul-cezanne_the-arc-valley-1888.jpg,20,16,4
Realism/john-singer-sargent_mrs-charles-f-st-clair-anstruther-thompson-nee-agnes-1898.jpg,21,11,6
Impressionism/eugene-boudin_rotterdam-a-corner-of-the-basin-1877.jpg,12,6,1
Impressionism/paul-cezanne_portrait-of-victor-chocquet-seated.jpg,12,16,6
Naive_Art_Primitivism/marc-chagall_couple-and-basket-with-fruits.jpg,15,12,2
Impressionism/pierre-auguste-renoir_marie-louise-durand-ruel-1898.jpg,12,17,6
